,short,District_Name_schools,District_Name,district_name_full,list
1,abbykelleyfostercharter,Abby Kelley Foster Charter Public (District),Abby Kelley Foster Charter Public (District),"Abby Kelley Foster Charter, Worcester",abbykelleyfostercharter_list
2,abington,Abington,Abington,Abington Public Schools,abington_list
3,academyofthepacificrimcharter,Academy Of the Pacific Rim Charter Public (District),Academy Of the Pacific Rim Charter Public (District),"Academy of the Pacific Rim Charter, Hyde Park",academyofthepacificrimcharter_list
4,acton,Acton,Acton,Acton Public Schools,acton_list
5,actonboxborough,Acton-Boxborough,Acton-Boxborough,Acton-Boxborough Regional,actonboxborough_list
6,acushnet,Acushnet,Acushnet,Acushnet Public Schools,acushnet_list
7,adamscheshire,Adams-Cheshire,Adams-Cheshire,Adams-Cheshire Regional,adamscheshire_list
8,advancedmathandscienceacademycharter,Advanced Math and Science Academy Charter (District),Advanced Math and Science Academy Charter (District),"Advanced Math and Science Academy Charter, Marlborough",advancedmathandscienceacademycharter_list
9,agawam,Agawam,Agawam,Agawam Public Schools,agawam_list
10,almadelmarcharterschool,Alma del Mar Charter School (District),Alma del Mar Charter School (District),"Alma del Mar Charter, New Bedford",almadelmarcharterschool_list
11,amesbury,Amesbury,Amesbury,Amesbury Public Schools,amesbury_list
12,amesburyacademycharter,Amesbury Academy Charter Public (District),Amesbury Academy Charter Public (District),"Amesbury Academy Charter, Amesbury",amesburyacademycharter_list
13,amherst,Amherst,Amherst,Amherst Public Schools,amherst_list
14,amherstpelham,Amherst-Pelham,Amherst-Pelham,Amherst-Pelham Regional,amherstpelham_list
15,andover,Andover,Andover,Andover Public Schools,andover_list
16,arlington,Arlington,Arlington,Arlington Public Schools,arlington_list
17,ashburnhamwestminster,Ashburnham-Westminster,Ashburnham-Westminster,Ashburnham-Westminster Regional,ashburnhamwestminster_list
18,ashland,Ashland,Ashland,Ashland Public Schools,ashland_list
19,assabetvalleyregional,Assabet Valley Regional Vocational Technical,Assabet Valley Regional Vocational Technical,"Assabet Valley Vocational, Marlborough",assabetvalleyregional_list
20,atholroyalston,Athol-Royalston,Athol-Royalston,Athol-Royalston Regional,atholroyalston_list
21,atlantischarter,Atlantis Charter (District),Atlantis Charter (District),"Atlantis Charter, Fall River",atlantischarter_list
22,attleboro,Attleboro,Attleboro,Attleboro Public Schools,attleboro_list
23,auburn,Auburn,Auburn,Auburn Public Schools,auburn_list
24,avon,Avon,Avon,Avon Public Schools,avon_list
25,ayershirleyschooldistrict,Ayer Shirley School District,Ayer Shirley School District,Ayer Shirley Regional,ayershirleyschooldistrict_list
26,barnstable,Barnstable,Barnstable,Barnstable Public Schools,barnstable_list
27,barnstablecommunityhoracemanncharter,Barnstable Community Horace Mann Charter Public (District),Barnstable Community Horace Mann Charter Public (District),Barnstable Community Horace Mann Charter,barnstablecommunityhoracemanncharter_list
28,baystateacademycharter,Baystate Academy Charter Public School (District),Baystate Academy Charter Public School (District),Baystate Academy Charter Public School,baystateacademycharter_list
29,bedford,Bedford,Bedford,Bedford Public Schools,bedford_list
30,belchertown,Belchertown,Belchertown,Belchertown Public Schools,belchertown_list
31,bellingham,Bellingham,Bellingham,Bellingham Public Schools,bellingham_list
32,belmont,Belmont,Belmont,Belmont Public Schools,belmont_list
33,benjaminbannekercharter,Benjamin Banneker Charter Public (District),Benjamin Banneker Charter Public (District),"Benjamin Banneker Charter, Cambridge",benjaminbannekercharter_list
34,benjaminfranklinclassicalcharter,Benjamin Franklin Classical Charter Public (District),Benjamin Franklin Classical Charter Public (District),"Benjamin Franklin Charter, Franklin",benjaminfranklinclassicalcharter_list
35,berkley,Berkley,Berkley,Berkley Public Schools,berkley_list
36,berkshireartsandtechnologycharter,Berkshire Arts and Technology Charter Public (District),Berkshire Arts and Technology Charter Public (District),"Berkshire Arts & Technology Charter, Adams",berkshireartsandtechnologycharter_list
37,berkshirehills,Berkshire Hills,Berkshire Hills,"Berkshire Hills Regional, Stockbridge",berkshirehills_list
38,berlin,Berlin,Berlin,Berlin Public Schools,berlin_list
39,berlinboylston,Berlin-Boylston,Berlin-Boylston,Berlin-Boylston Regional,berlinboylston_list
40,beverly,Beverly,Beverly,Beverly Public Schools,beverly_list
41,billerica,Billerica,Billerica,Billerica Public Schools,billerica_list
42,blackstonevalleyregional,Blackstone Valley Regional Vocational Technical,Blackstone Valley Regional Vocational Technical,"Blackstone Valley Vocational, Upton",blackstonevalleyregional_list
43,blackstonemillville,Blackstone-Millville,Blackstone-Millville,Blackstone-Millville Regional,blackstonemillville_list
44,bluehillsregional,Blue Hills Regional Vocational Technical,Blue Hills Regional Vocational Technical,"Blue Hills Vocational, Canton",bluehillsregional_list
45,boston,Boston,Boston,Boston Public Schools,boston_list
46,bostoncollegiatecharter,Boston Collegiate Charter (District),Boston Collegiate Charter (District),Boston Collegiate Charter,bostoncollegiatecharter_list
47,bostondayandeveningacademycharter,Boston Day and Evening Academy Charter (District),Boston Day and Evening Academy Charter (District),Boston Day and Evening Academy Charter,bostondayandeveningacademycharter_list
48,bostongreenacademyhoracemanncharterschool,Boston Green Academy Horace Mann Charter School (District),Boston Green Academy Horace Mann Charter School (District),"Boston Green Academy Charter, South Boston",bostongreenacademyhoracemanncharterschool_list
49,bostonpreparatorycharter,Boston Preparatory Charter Public (District),Boston Preparatory Charter Public (District),"Boston Preparatory Charter, Hyde Park",bostonpreparatorycharter_list
50,bostonrenaissancecharter,Boston Renaissance Charter Public (District),Boston Renaissance Charter Public (District),Boston Renaissance Charter,bostonrenaissancecharter_list
