school_name_url,district_name_url,short,school_name,District_Name,school_short
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abbykelleyfostercharter.xml#schools'>Abby Kelley Foster Charter Public School</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abbykelleyfostercharter.xml'>Abby Kelley Foster Charter, Worcester</a>",abbykelleyfostercharter,Abby Kelley Foster Charter Public School,"Abby Kelley Foster Charter, Worcester","Abby Kelley Foster Charter Public School, abbykelleyfostercharter"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml#schools'>Beaver Brook Elementary School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml'>Abington Public Schools</a>,abington,Beaver Brook Elementary School,Abington Public Schools,"Beaver Brook Elementary School, abington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml#schools'>Woodsdale Elementary School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml'>Abington Public Schools</a>,abington,Woodsdale Elementary School,Abington Public Schools,"Woodsdale Elementary School, abington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml#schools'>Frolio Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml'>Abington Public Schools</a>,abington,Frolio Middle School,Abington Public Schools,"Frolio Middle School, abington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml#schools'>Abington High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml'>Abington Public Schools</a>,abington,Abington High,Abington Public Schools,"Abington High, abington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/academyofthepacificrimcharter.xml#schools'>Academy Of the Pacific Rim Charter Public School</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/academyofthepacificrimcharter.xml'>Academy of the Pacific Rim Charter, Hyde Park</a>",academyofthepacificrimcharter,Academy Of the Pacific Rim Charter Public School,"Academy of the Pacific Rim Charter, Hyde Park","Academy Of the Pacific Rim Charter Public School, academyofthepacificrimcharter"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml#schools'>Merriam</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml'>Acton Public Schools</a>,acton,Merriam,Acton Public Schools,"Merriam, acton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml#schools'>McCarthy-Towne</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml'>Acton Public Schools</a>,acton,McCarthy-Towne,Acton Public Schools,"McCarthy-Towne, acton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml#schools'>Douglas</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml'>Acton Public Schools</a>,acton,Douglas,Acton Public Schools,"Douglas, acton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml#schools'>Gates</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml'>Acton Public Schools</a>,acton,Gates,Acton Public Schools,"Gates, acton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml#schools'>Luther Conant</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml'>Acton Public Schools</a>,acton,Luther Conant,Acton Public Schools,"Luther Conant, acton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/actonboxborough.xml#schools'>Raymond J Grey Junior High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/actonboxborough.xml'>Acton-Boxborough Regional</a>,actonboxborough,Raymond J Grey Junior High,Acton-Boxborough Regional,"Raymond J Grey Junior High, actonboxborough"
