school_name_url,district_name_url,District_Name,school_short
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abbykelleyfostercharter.xml#schools'>Abby Kelley Foster Charter Public School</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abbykelleyfostercharter.xml'>Abby Kelley Foster Charter, Worcester</a>","Abby Kelley Foster Charter, Worcester","Abby Kelley Foster Charter Public School, abbykelleyfostercharter"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml#schools'>Beaver Brook Elementary School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml'>Abington Public Schools</a>,Abington Public Schools,"Beaver Brook Elementary School, abington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml#schools'>Woodsdale Elementary School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml'>Abington Public Schools</a>,Abington Public Schools,"Woodsdale Elementary School, abington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml#schools'>Frolio Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml'>Abington Public Schools</a>,Abington Public Schools,"Frolio Middle School, abington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml#schools'>Abington High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abington.xml'>Abington Public Schools</a>,Abington Public Schools,"Abington High, abington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/academyofthepacificrimcharter.xml#schools'>Academy Of the Pacific Rim Charter Public School</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/academyofthepacificrimcharter.xml'>Academy of the Pacific Rim Charter, Hyde Park</a>","Academy of the Pacific Rim Charter, Hyde Park","Academy Of the Pacific Rim Charter Public School, academyofthepacificrimcharter"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml#schools'>Merriam</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml'>Acton Public Schools</a>,Acton Public Schools,"Merriam, acton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml#schools'>McCarthy-Towne</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml'>Acton Public Schools</a>,Acton Public Schools,"McCarthy-Towne, acton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml#schools'>Douglas</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml'>Acton Public Schools</a>,Acton Public Schools,"Douglas, acton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml#schools'>Gates</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml'>Acton Public Schools</a>,Acton Public Schools,"Gates, acton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml#schools'>Luther Conant</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml'>Acton Public Schools</a>,Acton Public Schools,"Luther Conant, acton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/actonboxborough.xml#schools'>Raymond J Grey Junior High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/actonboxborough.xml'>Acton-Boxborough Regional</a>,Acton-Boxborough Regional,"Raymond J Grey Junior High, actonboxborough"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/actonboxborough.xml#schools'>Acton-Boxborough Regional High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/actonboxborough.xml'>Acton-Boxborough Regional</a>,Acton-Boxborough Regional,"Acton-Boxborough Regional High, actonboxborough"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acushnet.xml#schools'>Acushnet Elementary School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acushnet.xml'>Acushnet Public Schools</a>,Acushnet Public Schools,"Acushnet Elementary School, acushnet"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acushnet.xml#schools'>Albert F Ford Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acushnet.xml'>Acushnet Public Schools</a>,Acushnet Public Schools,"Albert F Ford Middle School, acushnet"
