"","adminyear","org_code","District_Name","grade_14","echange_perf","mchange_perf","schange_perf","echange_type","mchange_type","schange_type","etotal_perf_14","mtotal_perf_14","stotal_perf_14","e_AandP_14","m_AandP_14","s_AandP_14","ecpi_14","mcpi_14","scpi_14","etotal_perf_13","mtotal_perf_13","stotal_perf_13","e_AandP_13","m_AandP_13","s_AandP_13","ecpi_13","mcpi_13","scpi_13","ELASGP14","MATSGP14","esgp_incl_14","msgp_incl_14","ELASGP13","MATSGP13","esgp_incl_13","msgp_incl_13","eadv_per_14","epro_per_14","eni_per_14","ewf_per_14","madv_per_14","mpro_per_14","mni_per_14","mwf_per_14","sadv_per_14","spro_per_14","sni_per_14","swf_per_14","ela_part_rate_14","math_part_rate_14","sci_part_rate_14","eadv_per_13","epro_per_13","eni_per_13","ewf_per_13","madv_per_13","mpro_per_13","mni_per_13","mwf_per_13","sadv_per_13","spro_per_13","sni_per_13","swf_per_13","ela_part_rate_13","math_part_rate_13","sci_part_rate_13","short","district_name","district_name_full","list"
"1","2014","00000000","State Results","03","0","2"," ","No Change","No Change",NA,"68283","68218"," ","57","68"," ","82.6","85.1"," ","70499","70581"," ","57","66"," ","83.3","84.3"," "," "," "," "," "," "," "," "," ","12","46","33","10","31","38","21","11"," "," "," "," ","100","100"," ","12","45","36","8","31","36","22","11"," "," "," "," ","100","100"," ","stateresults","State Results","State Results","stateresults_list"
"253","2014","04280000","Brooke Charter School Roslindale (District)","03","5","2"," ","Improved","No Change",NA,"66","66"," ","91","100"," ","97.7","100"," ","59","59"," ","86","98"," ","96.2","99.6"," "," "," "," "," "," "," "," "," ","33","58","9","0","65","35","0","0"," "," "," "," ","100","100"," ","20","66","14","0","54","44","2","0"," "," "," "," ","100","100"," ","brookecharterschoolroslindale","Brooke Charter School Roslindale (District)","Brooke Charter School Roslindale (District)","brookecharterschoolroslindale_list"
"264","2014","04430000","Brooke Charter School Mattapan (District)","03"," "," "," ",NA,NA,NA,"60","60"," ","83","88"," ","94.6","96.3"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","30","53","15","2","58","30","12","0"," "," "," "," ","100","100"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","brookecharterschoolmattapan","Brooke Charter School Mattapan (District)","Brooke Charter School Mattapan (District)","brookecharterschoolmattapan_list"
"276","2014","04570000","Brooke Charter School East Boston (District)","05","12","-6","-1","Improved","Declined","No Change","57","56","56","84","75","82","94.7","89.3","93.3","58","59","59","72","81","83","87.1","88.6","90.7","96","94","41","41","94","98","42","43","33","51","14","2","45","30","18","7","38","45","16","2","100","100","100","34","38","21","7","63","19","12","7","54","29","10","7","98","100","100","brookecharterschooleastboston","Brooke Charter School East Boston (District)","Brooke Charter School East Boston (District)","brookecharterschooleastboston_list"
"304","2014","04920000","Martin Luther King Jr. Charter School of Excellence (District)","03","21","1"," ","Improved","No Change",NA,"56","57"," ","41","49"," ","68.3","71.5"," ","60","61"," ","20","48"," ","64.2","74.2"," "," "," "," "," "," "," "," "," ","0","41","32","27","18","32","30","21"," "," "," "," ","98","100"," ","0","20","60","20","10","38","38","15"," "," "," "," ","98","100"," ","martinlutherkingjrcharterschoolofexcellence","Martin Luther King Jr. Charter School of Excellence (District)","Martin Luther King Jr. Charter School of Excellence (District)","martinlutherkingjrcharterschoolofexcellence_list"
"361","2014","07660000","Southwick-Tolland-Granville Regional School District","03","0","7"," ","No Change","Improved",NA,"115","116"," ","61","76"," ","83","87.1"," ","124","124"," ","61","69"," ","86.1","86.7"," "," "," "," "," "," "," "," "," ","10","51","29","10","26","50","14","10"," "," "," "," ","100","100"," ","10","51","31","8","31","37","23","9"," "," "," "," ","100","100"," ","southwicktollandgranvilleregionalschooldistrict","Southwick-Tolland-Granville Regional School District","Southwick-Tolland-Granville Regional School District","southwicktollandgranvilleregionalschooldistrict_list"
"384","2014","08530000","Northeast Metropolitan Regional Vocational Technical","10","-1","-9","1","No Change","Declined","No Change","313","313","307","90","64","57","96.7","83.2","83.7","325","323","307","91","73","56","97.5","87.5","83.6","51","40","292","292","56","48","297","298","23","66","10","0","32","32","29","8","7","50","37","6","100","100","100","25","67","8","0","33","41","20","7","6","50","44","0","100","100","100","northeastmetropolitanregional","Northeast Metropolitan Regional Vocational Technical","Northeast Metropolitan Regional Vocational Technical","northeastmetropolitanregional_list"
"398","2014","35010000","Paulo Freire Social Justice Charter School (District)","10"," "," "," ",NA,NA,NA,"44","45"," ","93","60"," ","98.3","86.7"," "," "," "," "," "," "," "," "," "," ","77","26","39","41"," "," "," "," ","23","70","7","0","18","42","40","0"," "," "," "," ","94","96","98"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","paulofreiresocialjusticecharterschool","Paulo Freire Social Justice Charter School (District)","Paulo Freire Social Justice Charter School (District)","paulofreiresocialjusticecharterschool_list"
"399","2014","35020000","Baystate Academy Charter Public School (District)","06"," "," "," ",NA,NA,NA,"79","78"," ","52","21"," ","80.400000000000006","57.4"," "," "," "," "," "," "," "," "," "," ","49","23.5","68","68"," "," "," "," ","5","47","34","14","5","15","46","33"," "," "," "," ","100","99"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","baystateacademycharterschool","Baystate Academy Charter Public School (District)","Baystate Academy Charter Public School (District)","baystateacademycharterschool_list"
"400","2014","35030000","Lowell Collegiate Charter School (District)","03"," "," "," ",NA,NA,NA,"55","55"," ","35","62"," ","69.099999999999994","80.900000000000006"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","5","29","47","18","18","44","25","13"," "," "," "," ","100","98"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","lowellcollegiatecharterschool","Lowell Collegiate Charter School (District)","Lowell Collegiate Charter School (District)","lowellcollegiatecharterschool_list"
