"","index","district_name","district_name_full","short","list"
"1",1,"Abby Kelley Foster Charter Public (District)","Abby Kelley Foster Charter, Worcester","abbykelleyfostercharter","abbykelleyfostercharter_list"
"2",2,"Abington","Abington Public Schools","abington","abington_list"
"3",3,"Academy Of the Pacific Rim Charter Public (Distric","Academy of the Pacific Rim Charter, Hyde Park","academyofthepacificrimcharter","academyofthepacificrimcharter_list"
"4",4,"Acton","Acton Public Schools","acton","acton_list"
"5",5,"Acton-Boxborough","Acton-Boxborough Regional","actonboxborough","actonboxborough_list"
"6",6,"Acushnet","Acushnet Public Schools","acushnet","acushnet_list"
"7",7,"Adams-Cheshire","Adams-Cheshire Regional","adamscheshire","adamscheshire_list"
"8",8,"Advanced Math and Science Academy Charter (Distric","Advanced Math and Science Academy Charter, Marlborough","advancedmathandscienceacademycharter","advancedmathandscienceacademycharter_list"
"9",9,"Agawam","Agawam Public Schools","agawam","agawam_list"
"10",10,"Alma del Mar Charter School (District)","Alma del Mar Charter, New Bedford","almadelmarcharterschool","almadelmarcharterschool_list"
"11",11,"Amesbury","Amesbury Public Schools","amesbury","amesbury_list"
"12",12,"Amesbury Academy Charter Public (District)","Amesbury Academy Charter, Amesbury","amesburyacademycharter","amesburyacademycharter_list"
"13",13,"Amherst","Amherst Public Schools","amherst","amherst_list"
"14",14,"Amherst-Pelham","Amherst-Pelham Regional","amherstpelham","amherstpelham_list"
"15",15,"Andover","Andover Public Schools","andover","andover_list"
"16",16,"Arlington","Arlington Public Schools","arlington","arlington_list"
"17",17,"Ashburnham-Westminster","Ashburnham-Westminster Regional","ashburnhamwestminster","ashburnhamwestminster_list"
"18",18,"Ashland","Ashland Public Schools","ashland","ashland_list"
"19",19,"Assabet Valley Regional Vocational Technical","Assabet Valley Vocational, Marlborough","assabetvalleyregional","assabetvalleyregional_list"
"20",20,"Athol-Royalston","Athol-Royalston Regional","atholroyalston","atholroyalston_list"
"21",21,"Atlantis Charter (District)","Atlantis Charter, Fall River","atlantischarter","atlantischarter_list"
"22",22,"Attleboro","Attleboro Public Schools","attleboro","attleboro_list"
"23",23,"Auburn","Auburn Public Schools","auburn","auburn_list"
"24",24,"Avon","Avon Public Schools","avon","avon_list"
"25",25,"Ayer Shirley School District","Ayer Shirley Regional","ayershirleyschooldistrict","ayershirleyschooldistrict_list"
"26",26,"Barnstable","Barnstable Public Schools","barnstable","barnstable_list"
"27",27,"Barnstable Community Horace Mann Charter Public (D","Barnstable Community Horace Mann Charter","barnstablecommunityhoracemanncharter","barnstablecommunityhoracemanncharter_list"
"28",28,"Bedford","Bedford Public Schools","bedford","bedford_list"
"29",29,"Belchertown","Belchertown Public Schools","belchertown","belchertown_list"
"30",30,"Bellingham","Bellingham Public Schools","bellingham","bellingham_list"
"31",31,"Belmont","Belmont Public Schools","belmont","belmont_list"
"32",32,"Benjamin Banneker Charter Public (District)","Benjamin Banneker Charter, Cambridge","benjaminbannekercharter","benjaminbannekercharter_list"
"33",33,"Benjamin Franklin Classical Charter Public (Distri","Benjamin Franklin Charter, Franklin","benjaminfranklinclassicalcharter","benjaminfranklinclassicalcharter_list"
"34",34,"Berkley","Berkley Public Schools","berkley","berkley_list"
"35",35,"Berkshire Arts and Technology Charter Public (Dist","Berkshire Arts & Technology Charter, Adams","berkshireartsandtechnologycharter","berkshireartsandtechnologycharter_list"
"36",36,"Berkshire Hills","Berkshire Hills Regional, Stockbridge","berkshirehills","berkshirehills_list"
"37",37,"Berlin","Berlin Public Schools","berlin","berlin_list"
"38",38,"Berlin-Boylston","Berlin-Boylston Regional","berlinboylston","berlinboylston_list"
"39",39,"Beverly","Beverly Public Schools","beverly","beverly_list"
"40",40,"Billerica","Billerica Public Schools","billerica","billerica_list"
"41",41,"Blackstone-Millville","Blackstone-Millville Regional","blackstonemillville","blackstonemillville_list"
"42",42,"Blackstone Valley Regional Vocational Technical","Blackstone Valley Vocational, Upton","blackstonevalleyregional","blackstonevalleyregional_list"
"43",43,"Blue Hills Regional Vocational Technical","Blue Hills Vocational, Canton","bluehillsregional","bluehillsregional_list"
"44",44,"Boston","Boston Public Schools","boston","boston_list"
"45",45,"Boston Collegiate Charter (District)","Boston Collegiate Charter","bostoncollegiatecharter","bostoncollegiatecharter_list"
"46",46,"Boston Day and Evening Academy Charter (District)","Boston Day and Evening Academy Charter","bostondayandeveningacademycharter","bostondayandeveningacademycharter_list"
"47",47,"Boston Green Academy Horace Mann Charter School (D","Boston Green Academy Charter, South Boston","bostongreenacademyhoracemanncharterschool","bostongreenacademyhoracemanncharterschool_list"
"48",48,"Boston Preparatory Charter Public (District)","Boston Preparatory Charter, Hyde Park","bostonpreparatorycharter","bostonpreparatorycharter_list"
"49",49,"Boston Renaissance Charter Public (District)","Boston Renaissance Charter","bostonrenaissancecharter","bostonrenaissancecharter_list"
"50",50,"Bourne","Bourne Public Schools","bourne","bourne_list"
"51",51,"Boxborough","Boxborough Public Schools","boxborough","boxborough_list"
"52",52,"Boxford","Boxford Public Schools","boxford","boxford_list"
"53",53,"Boylston","Boylston Public Schools","boylston","boylston_list"
"54",54,"Braintree","Braintree Public Schools","braintree","braintree_list"
"55",55,"Brewster","Brewster Public Schools","brewster","brewster_list"
"56",56,"Bridgewater-Raynham","Bridgewater-Raynham Regional","bridgewaterraynham","bridgewaterraynham_list"
"57",57,"Brimfield","Brimfield Public Schools","brimfield","brimfield_list"
