,school_name,english_rank,english_tested,english_score,english_image,math_rank,math_tested,math_score,math_image
1,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lawrence.xml#schools'>School for Exceptional Studies</a>,920,14,0,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,930,13,0,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
2,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Grafton Street</a>,876,50,16,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,926,49,4,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
3,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Goddard School/Science Technical</a>,891,46,13,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,926,46,4,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
4,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Mission Hill School</a>,908,24,8,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,926,24,4,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
5,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Wawecus Road School</a>,908,25,8,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,926,25,4,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
6,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/newbedford.xml#schools'>Ellen R Hathaway</a>,919,49,4,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,925,49,6,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
7,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>John Winthrop</a>,896,45,11,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,923,46,7,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
8,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Elm Park Community</a>,900,42,10,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,923,43,7,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
9,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/springfield.xml#schools'>Milton Bradley School</a>,900,67,10,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,922,67,9,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
10,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>Samuel Watson</a>,876,50,16,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,918,50,10,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
