admin_year,org_code,District_Name_schools,school_name,Lowest Grade,Highest Grade,OrgType Description,school_type,grade_14,echange_perf,mchange_perf,schange_perf,echange_type,mchange_type,schange_type,etotal_perf_14,mtotal_perf_14,stotal_perf_14,e_AandP_14,m_AandP_14,s_AandP_14,ecpi_14,mcpi_14,scpi_14,etotal_perf_13,mtotal_perf_13,stotal_perf_13,e_AandP_13,m_AandP_13,s_AandP_13,ecpi_13,mcpi_13,scpi_13,ELASGP14,MATSGP14,esgp_incl_14,msgp_incl_14,ELASGP13,MATSGP13,esgp_incl_13,msgp_incl_13,eadv_per_14,epro_per_14,eni_per_14,ewf_per_14,madv_per_14,mpro_per_14,mni_per_14,mwf_per_14,sadv_per_14,spro_per_14,sni_per_14,swf_per_14,ela_part_rate_14,math_part_rate_14,sci_part_rate_14,eadv_per_13,epro_per_13,eni_per_13,ewf_per_13,madv_per_13,mpro_per_13,mni_per_13,mwf_per_13,sadv_per_13,spro_per_13,sni_per_13,swf_per_13,ela_part_rate_13,math_part_rate_13,sci_part_rate_13
2014,10003,Abington,Beaver Brook Elementary School,1,4,Public School,ES,3,1,11, ,No Change,Improved,,170,170, ,54,68, ,81.2,84.7, ,154,154, ,53,57, ,82.1,79.7, , , , , , , , , ,9,45,39,7,16,52,23,9, , , , ,99,100, ,8,44,41,6,16,41,33,10, , , , ,99,100, 
2014,10003,Abington,Beaver Brook Elementary School,1,4,Public School,ES,4,4,2, ,Improved,No Change,,151,151, ,50,40, ,78.1,73.5, ,173,173, ,46,38, ,75.3,73.6, ,46.5,47,148,148,50,41,168,168,12,38,40,11,10,30,50,9, , , , ,99,100, ,5,42,40,14,12,25,53,10, , , , ,100,100, 
2014,10003,Abington,Beaver Brook Elementary School,1,4,Public School,ES,AL,3,8, ,Improved,Improved,,321,321, ,52,55, ,79.8,79.4, ,327,327, ,49,47, ,78.5,76.5, ,46.5,47,148,148,50,41,168,168,11,41,39,9,13,42,36,9, , , , ,99,100, ,6,43,40,10,14,33,43,10, , , , ,100,100, 
2014,10015,Abington,Woodsdale Elementary School,5,6,Public School,ES,5,1,-5,7,No Change,Declined,Improved,175,176,176,65,60,39,85,79.1,74.7,156,156,156,64,65,32,86.2,84.3,70.5,59,57,172,173,63,67,150,150,15,50,31,4,22,38,26,14,7,32,51,10,99,100,100,17,47,29,6,24,42,26,8,5,27,53,15,98,100,100
2014,10015,Abington,Woodsdale Elementary School,5,6,Public School,ES,6,2,-1, ,No Change,No Change,,157,156, ,76,64, ,92.2,84.6, ,149,149, ,74,65, ,89.4,83.2, ,68,55,152,152,57,57,148,149,19,57,20,4,26,38,26,10, , , , ,100,99, ,16,58,21,4,23,42,25,10, , , , ,98,99, 
2014,10015,Abington,Woodsdale Elementary School,5,6,Public School,ES,AL,1,-3,7,No Change,Declined,Improved,332,332,176,70,62,39,88.4,81.7,74.7,305,305,156,69,65,32,87.8,83.8,70.5,63,56,324,325,59,62,298,299,17,54,26,4,24,38,26,12,7,32,51,10,100,100,100,17,52,26,5,24,42,26,9,5,27,53,15,98,100,100
2014,10405,Abington,Frolio Middle School,7,8,Public School,MS,7,-2,-3, ,No Change,Declined,,143,145, ,71,43, ,89.5,70, ,178,179, ,73,46, ,89.7,71.6, ,37.5,36,138,141,48,31.5,171,172,7,64,26,3,10,32,35,22, , , , ,97,99, ,7,66,22,5,15,31,36,18, , , , ,99,100, 
2014,10405,Abington,Frolio Middle School,7,8,Public School,MS,8,4,-3,-1,Improved,Declined,No Change,174,176,176,86,47,32,92.7,75,67.3,161,160,160,82,50,33,92.9,74.2,69.5,53,45,169,171,53,45,157,160,13,73,9,6,11,36,40,13,2,31,51,16,97,99,99,21,61,15,3,16,34,31,19,1,31,54,14,99,99,99
2014,10405,Abington,Frolio Middle School,7,8,Public School,MS,AL,2,-3,-1,No Change,Declined,No Change,317,321,176,79,45,32,91.2,72.7,67.3,339,339,160,77,48,33,91.2,72.9,69.5,46,43,307,312,49,36,328,332,10,69,16,4,11,35,38,17,2,31,51,16,97,99,99,14,63,19,4,16,32,33,19,1,31,54,14,99,99,99
2014,10505,Abington,Abington High,9,12,Public School,HS,10,-1,2,16,No Change,No Change,Improved,112,113,105,92,81,80,97.5,91.6,92.6,122,126,121,93,79,64,98,89.1,85.7,37,40,106,107,35,42,119,123,41,51,6,2,56,26,12,7,34,46,17,3,97,99,100,33,61,7,0,45,33,14,7,16,49,33,2,94,98,100
