"","short","concatenated","school_name","grade","etotal","mtotal","stotal","e_AandP","m_AandP","s_AandP","echange_type","mchange_type","schange_type","district_name_url","school_name_url"
"1","abington","Abington, Beaver Brook Elementary School","Beaver Brook Elementary School","03","170","170"," ","54","68"," ","No Change","Improved",NA,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml'>Abington</a>","<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml#schools'>Beaver Brook Elementary School</a>"
"2","abington","Abington, Beaver Brook Elementary School","Beaver Brook Elementary School","04","151","151"," ","50","40"," ","Improved","No Change",NA,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml'>Abington</a>","<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml#schools'>Beaver Brook Elementary School</a>"
"3","abington","Abington, Beaver Brook Elementary School","Beaver Brook Elementary School","AL","321","321"," ","52","55"," ","Improved","Improved",NA,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml'>Abington</a>","<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml#schools'>Beaver Brook Elementary School</a>"
"4","abington","Abington, Woodsdale Elementary School","Woodsdale Elementary School","05","175","176","176","65","60","39","No Change","Declined","Improved","<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml'>Abington</a>","<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml#schools'>Woodsdale Elementary School</a>"
"5","abington","Abington, Woodsdale Elementary School","Woodsdale Elementary School","06","157","156"," ","76","64"," ","No Change","No Change",NA,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml'>Abington</a>","<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml#schools'>Woodsdale Elementary School</a>"
"6","abington","Abington, Woodsdale Elementary School","Woodsdale Elementary School","AL","332","332","176","70","62","39","No Change","Declined","Improved","<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml'>Abington</a>","<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml#schools'>Woodsdale Elementary School</a>"
"7","abington","Abington, Frolio Middle School","Frolio Middle School","07","143","145"," ","71","43"," ","No Change","Declined",NA,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml'>Abington</a>","<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml#schools'>Frolio Middle School</a>"
"8","abington","Abington, Frolio Middle School","Frolio Middle School","08","174","176","176","86","47","32","Improved","Declined","No Change","<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml'>Abington</a>","<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml#schools'>Frolio Middle School</a>"
"9","abington","Abington, Frolio Middle School","Frolio Middle School","AL","317","321","176","79","45","32","No Change","Declined","No Change","<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml'>Abington</a>","<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml#schools'>Frolio Middle School</a>"
"10","abington","Abington, Abington High","Abington High","10","112","113","105","92","81","80","No Change","No Change","Improved","<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml'>Abington</a>","<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2015/districts/xml/abington.xml#schools'>Abington High</a>"
