"","short","school_short","school_name","grade","etotal","mtotal","stotal","e_AandP","m_AandP","s_AandP","eadv_per","epro_per","eni_per","ewf_per","madv_per","mpro_per","mni_per","mwf_per","sadv_per","spro_per","sni_per","swf_per","ela_part_rate","math_part_rate","sci_part_rate"
"1","abington","Beaver Brook Elementary School, abington","Beaver Brook Elementary School","03","170","170"," ","54","68"," ","9","45","39","7","16","52","23","9"," "," "," "," ","99","100"," "
"2","abington","Beaver Brook Elementary School, abington","Beaver Brook Elementary School","04","151","151"," ","50","40"," ","12","38","40","11","10","30","50","9"," "," "," "," ","99","100"," "
"3","abington","Beaver Brook Elementary School, abington","Beaver Brook Elementary School","AL","321","321"," ","52","55"," ","11","41","39","9","13","42","36","9"," "," "," "," ","99","100"," "
"4","abington","Woodsdale Elementary School, abington","Woodsdale Elementary School","05","175","176","176","65","60","39","15","50","31","4","22","38","26","14","7","32","51","10","99","100","100"
"5","abington","Woodsdale Elementary School, abington","Woodsdale Elementary School","06","157","156"," ","76","64"," ","19","57","20","4","26","38","26","10"," "," "," "," ","100","99"," "
"6","abington","Woodsdale Elementary School, abington","Woodsdale Elementary School","AL","332","332","176","70","62","39","17","54","26","4","24","38","26","12","7","32","51","10","100","100","100"
"7","abington","Frolio Middle School, abington","Frolio Middle School","07","143","145"," ","71","43"," ","7","64","26","3","10","32","35","22"," "," "," "," ","97","99"," "
"8","abington","Frolio Middle School, abington","Frolio Middle School","08","174","176","176","86","47","32","13","73","9","6","11","36","40","13","2","31","51","16","97","99","99"
"9","abington","Frolio Middle School, abington","Frolio Middle School","AL","317","321","176","79","45","32","10","69","16","4","11","35","38","17","2","31","51","16","97","99","99"
"10","abington","Abington High, abington","Abington High","10","112","113","105","92","81","80","41","51","6","2","56","26","12","7","34","46","17","3","97","99","100"
"11","abington","Abington High, abington","Abington High","AL","112","113","105","92","81","80","41","51","6","2","56","26","12","7","34","46","17","3","97","99","100"
"12","acton","Merriam, acton","Merriam","03","46","91"," ","74","78"," ","13","61","26","0","33","45","20","2"," "," "," "," ","100","100"," "
"13","acton","Merriam, acton","Merriam","04","91","91"," ","59","73"," ","14","45","36","4","37","35","25","2"," "," "," "," ","100","100"," "
"14","acton","Merriam, acton","Merriam","05","68","68","67","82","87","78","31","51","13","4","57","29","9","4","34","43","19","3","100","100","99"
"15","acton","Merriam, acton","Merriam","06","70","70"," ","91","91"," ","40","51","7","1","67","24","6","3"," "," "," "," ","100","100"," "
"16","acton","Merriam, acton","Merriam","AL","275","320","67","76","81","78","25","51","21","3","47","34","16","3","34","43","19","3","100","100","99"
"17","acton","McCarthy-Towne, acton","McCarthy-Towne","03","69","69"," ","84","81"," ","20","64","13","3","39","42","14","4"," "," "," "," ","100","100"," "
"18","acton","McCarthy-Towne, acton","McCarthy-Towne","04","67","66"," ","61","58"," ","9","52","33","6","33","24","38","5"," "," "," "," ","100","100"," "
"19","acton","McCarthy-Towne, acton","McCarthy-Towne","05","71","71","71","86","79","70","23","63","13","1","56","23","18","3","30","41","28","1","100","100","100"
"20","acton","McCarthy-Towne, acton","McCarthy-Towne","06","69","24"," ","84","83"," ","7","77","16","0","46","38","17","0"," "," "," "," ","99","100"," "
"21","acton","McCarthy-Towne, acton","McCarthy-Towne","AL","276","230","71","79","74","70","15","64","18","3","43","30","23","3","30","41","28","1","100","100","100"
"22","acton","Douglas, acton","Douglas","03","69","68"," ","77","84"," ","22","55","23","0","47","37","13","3"," "," "," "," ","100","99"," "
"23","acton","Douglas, acton","Douglas","04","71","71"," ","62","65"," ","11","51","30","8","25","39","31","4"," "," "," "," ","100","100"," "
"24","acton","Douglas, acton","Douglas","05","73","72","72","85","93","85","36","49","15","0","56","38","3","4","33","51","13","3","100","100","100"
"25","acton","Douglas, acton","Douglas","06","71","70"," ","93","91"," ","20","73","7","0","61","30","7","1"," "," "," "," ","99","99"," "
"26","acton","Douglas, acton","Douglas","AL","284","281","72","79","83","85","22","57","19","2","47","36","14","3","33","51","13","3","100","99","100"
"27","acton","Gates, acton","Gates","03","70","70"," ","79","84"," ","21","57","21","0","57","27","13","3"," "," "," "," ","100","100"," "
"28","acton","Gates, acton","Gates","04","72","23"," ","83","74"," ","22","61","15","1","35","39","26","0"," "," "," "," ","100","100"," "
"29","acton","Gates, acton","Gates","05","68","67","67","82","88","81","25","57","18","0","54","34","10","1","33","48","18","1","97","97","96"
"30","acton","Gates, acton","Gates","06","72","72"," ","92","94"," ","28","64","8","0","67","28","4","1"," "," "," "," ","100","100"," "
"31","acton","Gates, acton","Gates","AL","282","232","67","84","88","81","24","60","16","0","57","31","11","2","33","48","18","1","99","99","96"
"32","acton","Luther Conant, acton","Luther Conant","03","69","69"," ","80","87"," ","25","55","19","1","52","35","13","0"," "," "," "," ","100","100"," "
"33","acton","Luther Conant, acton","Luther Conant","04","68","69"," ","84","83"," ","24","60","10","6","51","32","14","3"," "," "," "," ","97","99"," "
"34","acton","Luther Conant, acton","Luther Conant","05","72","72","72","89","90","88","33","56","10","1","72","18","6","4","56","32","11","1","100","100","100"
"35","acton","Luther Conant, acton","Luther Conant","06","70","23"," ","89","87"," ","44","44","6","6","83","4","9","4"," "," "," "," ","100","100"," "
"36","acton","Luther Conant, acton","Luther Conant","AL","279","233","72","85","87","88","32","54","11","4","61","26","11","3","56","32","11","1","99","100","100"
"37","acushnet","Acushnet Elementary School, acushnet","Acushnet Elementary School","03","110","110"," ","54","65"," ","5","49","45","2","20","45","29","5"," "," "," "," ","100","100"," "
